Soil_Type,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Irrigation_Hours,Previous_Yield,Season,Crop_Yield,Crop_Health,Suitability,Productivity_Zone
Loamy,1159.41,27.1,81.25,166.01,48.61,5.79,3.36,Kharif,6.15,Healthy,Medium,Moderate Productivity
Loamy,1357.49,39.34,70.97,119.45,32.75,5.7,3.59,Kharif,7.22,Unhealthy,Medium,High Productivity
Clay,745.14,31.77,75.36,166.07,51.68,3.67,2.95,Kharif,5.18,Healthy,Medium,Moderate Productivity
Sandy,291.47,32.34,72.29,251.19,50.91,7.42,2.58,Summer,4.65,Healthy,Medium,Low Productivity
Loamy,354.0,29.93,76.96,127.69,26.94,6.39,3.03,Summer,3.51,Healthy,Medium,Low Productivity
Loamy,426.83,23.09,74.38,215.62,58.5,4.19,4.12,Rabi,3.8,Healthy,Medium,Low Productivity
Loamy,209.81,37.43,63.37,201.29,16.14,4.41,3.38,Summer,4.14,Healthy,Medium,Low Productivity
Sandy,819.15,21.28,93.2,300.37,60.31,9.68,2.61,Rabi,6.16,Healthy,Medium,Moderate Productivity
Sandy,657.71,27.44,87.03,285.3,41.77,10.43,1.75,Rabi,5.11,Healthy,Medium,Low Productivity
Sandy,496.96,16.64,95.0,267.22,57.56,7.08,2.19,Rabi,4.25,Healthy,Medium,Low Productivity
Loamy,357.64,23.08,88.51,242.04,53.66,2.04,2.84,Rabi,4.57,Healthy,Medium,Low Productivity
Loamy,1278.33,25.32,72.33,165.08,43.33,3.39,3.07,Kharif,5.67,Healthy,Medium,Moderate Productivity
Sandy,200.0,36.92,66.52,282.09,46.47,6.57,2.03,Summer,4.55,Healthy,Medium,Low Productivity
Clay,447.03,36.4,76.95,74.4,44.22,4.35,2.97,Summer,2.69,Healthy,Low,Low Productivity
Clay,1095.62,28.53,87.88,345.34,55.5,3.61,3.25,Kharif,7.01,Healthy,High,High Productivity
Loamy,591.27,18.33,95.0,227.22,72.35,4.88,4.19,Rabi,6.07,Healthy,Medium,High Productivity
Loamy,864.6,29.13,77.86,68.91,31.95,6.08,3.05,Kharif,4.55,Healthy,Medium,Low Productivity
Clay,399.16,38.8,60.91,135.22,8.39,4.09,3.63,Summer,3.47,Healthy,Low,Low Productivity
Clay,464.99,35.37,71.35,292.62,39.25,4.31,2.85,Summer,5.16,Healthy,Medium,Moderate Productivity
Sandy,200.0,29.16,79.08,210.58,40.88,7.02,3.41,Summer,4.05,Healthy,Medium,Low Productivity
Clay,1023.24,27.81,88.45,252.03,44.76,4.29,3.2,Kharif,6.06,Healthy,High,Moderate Productivity
Loamy,1242.28,26.1,83.82,182.4,37.88,4.84,4.12,Kharif,7.68,Healthy,High,High Productivity
Sandy,1487.62,23.68,85.66,340.05,56.42,4.68,3.14,Kharif,8.0,Healthy,High,High Productivity
Clay,890.98,23.78,85.84,133.47,33.94,4.14,3.01,Kharif,4.87,Healthy,Medium,Low Productivity
Loamy,1253.06,32.81,76.63,161.33,49.5,5.6,3.99,Kharif,7.12,Unhealthy,High,High Productivity
Clay,1365.46,35.07,75.05,92.67,50.9,3.51,3.66,Kharif,5.97,Healthy,Medium,Moderate Productivity
Clay,468.68,28.55,76.11,217.53,48.0,1.81,2.28,Summer,3.57,Healthy,Medium,Low Productivity
Clay,1044.39,25.92,77.61,194.48,50.15,1.27,3.62,Kharif,6.36,Healthy,Medium,High Productivity
Clay,1414.78,22.36,94.02,288.23,59.7,2.87,3.31,Kharif,6.58,Healthy,High,High Productivity
Clay,223.73,43.06,54.12,194.48,38.77,4.62,2.56,Summer,3.28,Unhealthy,Low,Low Productivity
Clay,616.1,21.02,95.0,288.32,47.04,5.56,3.07,Rabi,5.43,Healthy,Medium,Moderate Productivity
Clay,399.73,33.16,64.66,158.55,46.26,4.36,3.06,Summer,3.97,Unhealthy,Medium,Low Productivity
Clay,653.5,22.6,83.96,203.08,53.19,2.74,2.82,Rabi,4.21,Healthy,Medium,Low Productivity
Sandy,709.79,32.81,79.49,379.0,54.74,7.49,2.62,Summer,5.59,Healthy,Medium,Moderate Productivity
Loamy,454.71,18.66,91.61,173.11,32.36,5.38,3.74,Rabi,3.43,Healthy,Medium,Low Productivity
Sandy,433.9,23.77,78.89,282.22,43.83,7.12,2.6,Rabi,4.95,Healthy,Medium,Low Productivity
Sandy,253.04,34.23,75.05,247.01,33.86,9.31,2.47,Summer,4.42,Healthy,Medium,Low Productivity
Sandy,618.86,17.88,92.88,121.73,55.47,8.87,2.65,Rabi,3.28,Healthy,Low,Low Productivity
Loamy,1270.21,24.59,83.41,213.51,54.29,4.63,3.51,Kharif,6.38,Healthy,High,High Productivity
Loamy,884.66,23.65,82.5,155.71,44.01,5.88,3.3,Rabi,5.26,Healthy,Medium,Moderate Productivity
Clay,938.9,35.46,71.27,243.33,36.09,3.59,2.99,Kharif,6.41,Healthy,Medium,High Productivity
Clay,433.5,31.11,73.75,316.49,50.1,4.43,3.27,Summer,5.5,Healthy,Medium,Moderate Productivity
Clay,1200.7,33.29,86.22,119.2,46.53,5.09,3.03,Kharif,6.1,Healthy,Medium,Moderate Productivity
Clay,1041.12,24.57,83.32,249.34,61.26,3.22,3.43,Kharif,6.21,Healthy,High,High Productivity
Sandy,1531.33,33.11,72.4,316.02,61.45,7.1,2.8,Kharif,7.88,Healthy,High,High Productivity
Sandy,500.01,34.77,69.56,242.53,52.88,9.35,2.66,Summer,5.3,Healthy,Medium,Moderate Productivity
Clay,1288.68,24.8,93.13,263.56,52.27,3.07,3.11,Kharif,7.05,Healthy,High,High Productivity
Sandy,200.0,21.31,80.23,349.25,64.33,7.88,2.36,Rabi,5.44,Healthy,Medium,Moderate Productivity
Sandy,375.75,38.63,69.44,178.29,45.24,4.34,2.27,Summer,3.13,Unhealthy,Low,Low Productivity
Clay,911.65,31.15,75.42,175.9,39.84,4.11,3.27,Kharif,5.58,Healthy,Medium,Moderate Productivity
Loamy,325.76,32.69,67.65,174.2,35.54,6.15,3.95,Summer,5.05,Healthy,Medium,Moderate Productivity
Clay,1225.31,27.25,77.2,139.86,38.13,5.54,3.05,Kharif,6.11,Healthy,High,Moderate Productivity
Loamy,1211.07,23.64,87.22,240.98,48.1,4.09,4.21,Kharif,7.3,Healthy,High,High Productivity
Clay,534.37,24.29,80.52,247.01,50.79,4.46,2.99,Rabi,3.99,Healthy,Medium,Low Productivity
Loamy,626.43,34.11,74.37,206.33,30.16,5.05,3.7,Summer,5.03,Healthy,Medium,Moderate Productivity
Loamy,1375.04,26.71,90.6,209.21,44.69,7.29,4.93,Kharif,8.0,Healthy,High,High Productivity
Loamy,464.26,16.67,94.85,217.92,52.58,9.48,4.24,Rabi,5.45,Healthy,Medium,Moderate Productivity
Loamy,1086.81,29.47,71.37,114.63,49.85,4.26,4.1,Kharif,5.75,Healthy,Medium,Moderate Productivity
Loamy,545.94,10.0,95.0,153.76,50.24,3.2,4.07,Rabi,4.89,Healthy,Medium,Moderate Productivity
Loamy,860.07,15.3,94.21,131.71,52.71,4.6,3.39,Rabi,4.28,Healthy,Medium,Low Productivity
Loamy,200.0,29.46,76.88,201.64,32.68,6.65,3.25,Rabi,3.78,Healthy,Medium,Low Productivity
Clay,662.29,25.55,84.1,166.79,38.11,4.09,2.93,Rabi,3.77,Healthy,Medium,Low Productivity
Sandy,1230.97,28.43,81.44,363.89,45.82,9.38,3.23,Kharif,8.0,Healthy,High,High Productivity
Sandy,569.1,17.95,95.0,208.56,55.61,5.7,2.11,Rabi,4.42,Healthy,Medium,Low Productivity
Loamy,700.06,13.8,95.0,179.84,52.81,5.73,3.72,Rabi,4.23,Healthy,Medium,Low Productivity
Sandy,719.94,18.19,86.41,245.85,39.44,5.85,2.86,Rabi,4.67,Healthy,Medium,Low Productivity
Sandy,1014.63,32.0,81.37,248.95,44.05,6.35,2.71,Kharif,6.33,Healthy,Medium,Moderate Productivity
Loamy,511.51,18.08,95.0,223.96,65.62,4.94,3.46,Rabi,4.98,Healthy,Medium,Moderate Productivity
Clay,628.64,20.8,90.21,302.74,54.5,2.76,3.13,Rabi,4.66,Healthy,Medium,Low Productivity
Clay,1088.19,22.74,85.48,307.97,46.02,2.45,3.41,Kharif,6.21,Healthy,High,High Productivity
Sandy,1286.83,30.09,81.01,241.12,36.04,5.15,3.03,Kharif,6.65,Healthy,High,High Productivity
Sandy,374.32,22.69,85.71,224.76,40.58,5.05,3.04,Rabi,4.84,Healthy,Medium,Low Productivity
Clay,532.5,37.79,58.37,368.94,39.58,3.15,2.94,Summer,5.74,Healthy,Medium,Moderate Productivity
Sandy,1099.58,29.78,81.08,225.04,49.08,9.33,3.26,Kharif,6.36,Healthy,Medium,High Productivity
Sandy,390.35,38.61,72.13,376.42,49.29,6.42,3.18,Summer,6.36,Healthy,Medium,High Productivity
Sandy,338.53,15.47,95.0,309.8,54.38,5.07,3.5,Rabi,5.48,Healthy,Medium,Moderate Productivity
Sandy,335.36,35.45,67.81,235.84,38.64,5.34,2.98,Summer,4.44,Healthy,Medium,Low Productivity
Loamy,674.87,19.57,91.65,171.58,44.38,3.97,3.38,Rabi,3.73,Healthy,Medium,Low Productivity
Clay,652.45,14.19,95.0,195.37,70.97,2.35,2.67,Rabi,3.53,Healthy,Medium,Low Productivity
Loamy,513.24,22.57,87.34,251.89,42.64,7.64,3.93,Rabi,6.52,Healthy,Medium,High Productivity
Loamy,330.37,38.55,68.31,208.31,29.58,4.81,3.27,Summer,4.17,Healthy,Medium,Low Productivity
Sandy,892.66,27.39,81.32,416.54,30.01,7.66,3.08,Rabi,7.45,Healthy,High,High Productivity
Sandy,486.03,10.49,95.0,330.81,46.97,8.48,2.59,Rabi,5.1,Healthy,Medium,Low Productivity
Sandy,667.26,22.92,90.19,290.61,58.46,6.26,2.75,Rabi,5.56,Healthy,High,Moderate Productivity
Loamy,419.38,36.47,76.34,190.47,39.14,4.18,3.55,Summer,4.71,Healthy,Medium,Moderate Productivity
Loamy,981.35,23.09,82.5,165.7,61.53,6.98,4.31,Kharif,6.49,Healthy,Medium,High Productivity
Loamy,363.16,21.45,87.4,266.33,48.15,5.66,3.59,Rabi,4.9,Healthy,Medium,Moderate Productivity
Sandy,637.55,22.18,85.27,255.5,58.68,7.46,3.24,Rabi,6.07,Healthy,Medium,Moderate Productivity
Loamy,381.01,36.43,67.46,201.23,34.66,3.61,3.55,Summer,4.76,Healthy,Medium,Moderate Productivity
Clay,598.9,20.55,81.26,329.75,38.96,4.81,3.21,Rabi,5.68,Healthy,Medium,Moderate Productivity
Loamy,879.28,19.01,91.31,244.0,50.3,4.75,4.34,Rabi,6.41,Healthy,Medium,High Productivity
Clay,519.57,33.99,75.61,218.68,49.51,3.01,3.07,Summer,4.52,Healthy,Medium,Low Productivity
Loamy,652.16,19.63,89.67,244.2,47.11,3.71,3.39,Rabi,5.7,Healthy,Medium,Moderate Productivity
Loamy,694.44,22.9,86.48,222.57,50.87,6.35,3.71,Kharif,4.77,Healthy,Medium,Moderate Productivity
Clay,1076.66,30.14,79.93,257.88,51.86,1.42,3.36,Kharif,6.43,Healthy,High,High Productivity
Loamy,1157.03,26.64,89.09,163.42,34.52,5.21,4.63,Kharif,6.9,Healthy,High,High Productivity
Clay,1031.51,27.66,78.71,103.22,42.2,5.0,3.49,Kharif,4.89,Healthy,Medium,Moderate Productivity
Loamy,728.34,23.91,79.45,138.32,40.65,6.27,3.37,Rabi,4.36,Healthy,Medium,Low Productivity
Clay,200.0,39.37,66.31,125.89,37.19,3.36,2.82,Summer,3.59,Unhealthy,Low,Low Productivity
Loamy,445.09,33.33,83.43,133.16,51.1,3.37,3.6,Summer,3.93,Healthy,Low,Low Productivity
Clay,1209.27,31.49,70.4,232.51,38.07,4.03,3.33,Kharif,7.82,Healthy,High,High Productivity
Loamy,557.08,19.24,94.16,171.44,30.2,5.53,4.29,Rabi,4.63,Healthy,Medium,Moderate Productivity
Loamy,884.9,35.97,76.62,206.79,42.62,7.05,3.72,Kharif,5.98,Healthy,Medium,Moderate Productivity
Sandy,693.36,29.03,67.33,318.47,31.56,5.5,2.88,Summer,6.17,Healthy,Medium,Moderate Productivity
Loamy,691.72,26.38,84.39,152.18,52.28,7.56,3.08,Kharif,5.03,Healthy,Medium,Moderate Productivity
Loamy,584.11,20.09,92.91,198.53,57.93,3.94,3.35,Rabi,5.14,Healthy,Medium,Moderate Productivity
Loamy,1147.79,31.25,75.17,269.68,22.8,4.19,4.87,Kharif,8.0,Healthy,High,High Productivity
Clay,569.15,16.88,90.51,202.88,41.41,3.56,2.94,Rabi,3.65,Healthy,Medium,Low Productivity
Sandy,768.91,19.91,87.15,291.14,51.68,9.33,2.82,Rabi,5.72,Healthy,Medium,Moderate Productivity
Clay,459.91,34.64,70.79,321.88,29.15,4.01,2.59,Summer,5.15,Healthy,Medium,Moderate Productivity
Loamy,1442.11,21.24,87.0,203.88,55.93,0.85,3.83,Kharif,7.29,Healthy,High,High Productivity
Clay,344.54,28.05,77.89,258.88,55.86,3.28,3.12,Summer,3.98,Healthy,Medium,Low Productivity
Sandy,538.51,11.73,95.0,180.67,48.88,6.63,2.44,Rabi,3.1,Healthy,Low,Low Productivity
Sandy,530.34,31.32,82.37,342.63,38.97,7.06,3.2,Summer,6.38,Healthy,Medium,High Productivity
Sandy,333.05,28.47,73.76,259.58,21.02,5.46,2.8,Summer,4.21,Healthy,Medium,Low Productivity
Sandy,382.14,34.7,63.61,154.57,49.22,7.8,2.72,Summer,3.12,Healthy,Medium,Low Productivity
Loamy,965.92,26.0,88.84,182.59,68.68,5.12,3.92,Kharif,6.51,Healthy,Medium,High Productivity
Loamy,1120.14,22.63,85.89,266.98,65.72,6.75,2.72,Kharif,6.5,Healthy,High,Moderate Productivity
Sandy,1131.48,29.22,76.99,230.21,43.15,9.86,2.68,Kharif,6.47,Healthy,High,Moderate Productivity
Sandy,1088.2,24.02,84.63,260.43,36.46,7.23,3.2,Kharif,7.63,Healthy,High,High Productivity
Loamy,553.01,21.65,89.06,131.72,57.1,4.93,3.79,Rabi,3.54,Healthy,Low,Low Productivity
Clay,356.29,36.46,67.62,138.79,41.02,5.13,3.49,Summer,3.14,Unhealthy,Low,Low Productivity
Clay,200.0,33.0,76.93,204.86,49.86,2.5,3.2,Summer,4.89,Healthy,Medium,Moderate Productivity
Clay,606.36,20.85,84.17,259.18,50.28,4.15,2.99,Rabi,5.1,Healthy,Medium,Moderate Productivity
Loamy,655.05,22.57,85.4,119.27,48.55,4.27,3.19,Rabi,4.24,Healthy,Medium,Low Productivity
Sandy,633.03,41.38,53.27,226.21,48.27,7.11,3.23,Summer,4.76,Unhealthy,Medium,Low Productivity
Loamy,263.21,32.59,80.76,243.33,56.88,4.59,2.72,Summer,4.26,Healthy,Medium,Low Productivity
Loamy,1355.03,23.26,85.2,212.65,42.33,6.79,3.77,Kharif,7.01,Healthy,High,High Productivity
Sandy,759.01,18.32,95.0,274.06,41.27,5.89,2.05,Rabi,5.32,Healthy,Medium,Low Productivity
Loamy,359.75,34.72,74.72,121.76,19.43,7.74,4.29,Summer,4.85,Healthy,Medium,Moderate Productivity
Loamy,1285.05,27.65,83.57,183.6,43.61,3.73,4.06,Kharif,7.07,Healthy,Medium,High Productivity
Clay,421.58,19.99,89.98,143.5,38.06,5.03,2.79,Rabi,4.03,Healthy,Medium,Low Productivity
Sandy,720.48,39.54,68.49,291.47,46.74,9.78,3.43,Summer,6.54,Unhealthy,Medium,High Productivity
Sandy,200.0,29.94,73.27,311.82,40.62,8.94,2.31,Summer,4.71,Healthy,Medium,Low Productivity
Clay,389.82,34.47,66.78,206.67,39.76,3.48,3.61,Summer,4.37,Healthy,Medium,Low Productivity
Clay,560.92,33.42,73.39,199.42,52.14,3.86,3.0,Summer,3.95,Unhealthy,Medium,Low Productivity
Loamy,1141.39,25.77,79.67,236.29,49.87,2.32,3.3,Kharif,6.87,Healthy,Medium,High Productivity
Sandy,1136.49,27.25,88.43,188.48,47.36,7.18,2.8,Kharif,6.32,Healthy,Medium,Moderate Productivity
Sandy,467.3,17.75,94.57,318.72,67.24,6.61,3.3,Rabi,5.56,Healthy,Medium,Moderate Productivity
Loamy,519.34,20.71,85.57,301.71,55.05,4.96,3.06,Rabi,5.73,Healthy,High,Moderate Productivity
Sandy,651.23,26.08,81.35,361.47,42.25,7.44,2.29,Rabi,5.19,Healthy,Medium,Low Productivity
Loamy,575.88,28.59,80.35,238.47,42.39,4.61,3.61,Rabi,4.88,Healthy,Medium,Moderate Productivity
Loamy,200.0,15.0,95.0,265.25,58.38,3.74,3.62,Rabi,4.65,Healthy,Medium,Moderate Productivity
Sandy,444.46,32.61,76.23,347.27,46.9,6.73,2.29,Summer,5.45,Healthy,Medium,Moderate Productivity
Sandy,983.1,26.9,82.07,80.75,35.41,5.73,2.95,Kharif,4.87,Healthy,Medium,Low Productivity
Loamy,1464.43,30.72,70.19,170.68,52.0,4.23,3.06,Kharif,6.23,Healthy,High,Moderate Productivity
Loamy,1466.2,19.08,80.35,193.36,58.68,5.7,3.6,Kharif,6.16,Healthy,Medium,High Productivity
Loamy,880.09,33.08,72.44,182.18,55.54,7.37,3.08,Kharif,5.48,Healthy,Medium,Moderate Productivity
Clay,449.35,43.13,65.05,207.15,56.94,4.82,3.41,Summer,4.24,Unhealthy,Low,Low Productivity
Loamy,832.76,18.71,89.73,241.9,69.61,7.02,4.62,Rabi,5.82,Healthy,Medium,High Productivity
Loamy,1482.76,29.43,84.86,105.21,64.76,7.37,3.04,Kharif,5.63,Healthy,Medium,Moderate Productivity
Clay,348.61,31.91,75.47,212.74,48.05,2.7,3.21,Summer,4.4,Healthy,Medium,Low Productivity
Sandy,501.78,20.39,95.0,237.09,48.42,8.02,2.73,Rabi,5.43,Healthy,Medium,Moderate Productivity
Loamy,1370.9,28.4,85.67,227.64,29.41,4.36,4.39,Kharif,7.22,Healthy,High,High Productivity
Clay,1197.59,31.02,82.03,149.02,46.72,3.77,3.27,Kharif,6.21,Healthy,High,Moderate Productivity
Sandy,1157.41,20.49,83.39,263.18,52.21,6.62,2.51,Kharif,6.03,Healthy,Medium,Moderate Productivity
Loamy,281.96,18.1,92.36,266.34,50.14,3.42,4.39,Rabi,4.83,Healthy,Medium,Moderate Productivity
Clay,1369.35,24.73,90.44,234.88,30.25,3.56,2.95,Kharif,6.32,Healthy,High,Moderate Productivity
Sandy,1362.84,25.12,85.22,242.77,44.7,6.31,3.07,Kharif,7.54,Healthy,High,High Productivity
Sandy,845.45,32.12,78.22,397.28,51.92,3.53,2.52,Kharif,6.79,Healthy,Medium,High Productivity
Sandy,522.47,18.5,84.86,242.07,37.2,5.92,3.63,Rabi,4.94,Healthy,Medium,Moderate Productivity
Loamy,1306.57,34.83,81.8,155.69,48.2,6.01,3.87,Kharif,6.87,Healthy,Medium,High Productivity
Loamy,200.0,30.17,73.84,201.96,48.47,4.41,3.18,Summer,4.28,Healthy,Medium,Low Productivity
Clay,1045.68,31.21,66.58,305.95,53.15,2.72,3.49,Kharif,6.99,Healthy,High,High Productivity
Loamy,547.82,19.12,89.3,205.77,65.92,6.69,2.46,Rabi,3.89,Healthy,Medium,Low Productivity
Loamy,801.98,20.7,76.93,112.64,41.3,4.52,4.04,Rabi,4.29,Healthy,Low,Low Productivity
Clay,642.42,16.8,88.41,130.03,50.36,2.29,2.17,Rabi,3.92,Healthy,Low,Low Productivity
Loamy,1131.26,27.72,93.52,151.06,52.21,4.7,4.03,Kharif,6.9,Healthy,High,High Productivity
Clay,200.0,31.19,74.68,279.28,50.9,2.48,2.62,Summer,5.3,Healthy,Medium,Moderate Productivity
Loamy,459.43,33.21,67.01,113.61,47.48,6.56,3.46,Summer,3.39,Healthy,Medium,Low Productivity
Loamy,1296.18,23.4,86.05,259.52,62.06,6.25,4.91,Kharif,8.0,Healthy,High,High Productivity
Loamy,979.79,24.56,80.04,158.26,22.7,4.3,3.93,Kharif,5.68,Healthy,Medium,Moderate Productivity
Clay,622.2,39.59,70.81,315.25,47.42,3.85,2.56,Summer,5.69,Healthy,Medium,Moderate Productivity
Loamy,781.49,17.16,88.96,228.95,53.56,3.63,3.99,Rabi,5.67,Healthy,Medium,Moderate Productivity
Clay,1267.15,27.42,82.45,164.7,44.38,4.41,3.97,Kharif,6.46,Healthy,High,High Productivity
Clay,1188.07,26.07,76.98,120.44,22.45,3.41,3.5,Kharif,6.01,Healthy,High,Moderate Productivity
Clay,650.93,25.28,95.0,309.72,49.89,3.24,3.87,Rabi,5.8,Healthy,Medium,Moderate Productivity
Loamy,496.31,29.18,81.5,206.9,39.34,3.24,4.21,Summer,4.22,Healthy,Medium,Low Productivity
Clay,669.44,28.11,79.54,315.09,62.64,3.77,3.34,Rabi,5.97,Healthy,Medium,Moderate Productivity
Loamy,817.9,31.93,74.22,157.53,48.02,4.92,4.37,Summer,5.23,Healthy,Medium,Moderate Productivity
Loamy,200.3,18.67,88.83,194.75,40.69,4.35,3.6,Rabi,4.4,Healthy,Medium,Low Productivity
Clay,1099.89,25.71,79.34,246.52,25.27,4.35,3.25,Kharif,5.39,Healthy,Medium,Moderate Productivity
Clay,722.38,22.29,83.31,247.92,52.9,4.56,3.62,Rabi,5.2,Healthy,Medium,Moderate Productivity
Clay,1089.51,28.03,88.75,207.86,55.59,5.68,3.66,Kharif,6.46,Healthy,High,High Productivity
Loamy,1096.19,21.59,85.33,217.2,45.44,4.74,3.94,Kharif,5.93,Healthy,High,High Productivity
Loamy,977.36,30.39,66.88,159.46,48.1,5.22,3.73,Kharif,4.91,Healthy,Medium,Moderate Productivity
Clay,1315.33,28.54,73.93,229.34,40.7,3.82,3.2,Kharif,6.99,Healthy,High,High Productivity
Loamy,440.96,36.19,75.21,161.55,55.23,5.26,3.37,Summer,4.23,Unhealthy,Medium,Low Productivity
Clay,664.87,27.5,79.74,298.36,55.85,4.44,3.17,Kharif,5.28,Healthy,Medium,Moderate Productivity
Loamy,618.01,17.73,92.05,163.48,33.23,2.07,3.37,Rabi,4.01,Healthy,Medium,Low Productivity
Loamy,647.43,25.35,89.43,212.11,34.88,4.34,4.05,Rabi,5.33,Healthy,Medium,Moderate Productivity
Loamy,371.16,26.28,78.58,204.22,65.89,5.6,4.26,Rabi,4.23,Healthy,Medium,Low Productivity
Loamy,354.54,34.4,75.89,292.91,54.09,6.62,3.97,Summer,6.29,Healthy,Medium,High Productivity
Loamy,592.13,32.78,71.32,224.15,30.77,6.15,3.51,Summer,5.03,Healthy,Medium,Moderate Productivity
Clay,216.57,30.78,79.94,218.42,30.28,4.86,2.81,Summer,4.23,Healthy,Medium,Low Productivity
Clay,1330.52,26.52,80.22,187.26,48.14,3.59,3.72,Kharif,7.03,Healthy,High,High Productivity
Clay,609.59,13.62,95.0,277.79,39.08,3.75,2.97,Rabi,4.26,Healthy,Medium,Low Productivity
Sandy,506.88,17.53,95.0,220.24,47.33,8.23,3.87,Rabi,5.56,Healthy,Medium,Moderate Productivity
Loamy,877.14,27.78,84.41,146.27,46.85,7.16,4.35,Kharif,6.33,Healthy,Medium,High Productivity
Loamy,902.62,25.8,82.21,177.55,45.76,3.74,3.64,Kharif,5.61,Healthy,Medium,Moderate Productivity
Loamy,1038.2,29.57,76.16,199.41,56.11,5.47,3.68,Kharif,6.43,Healthy,Medium,High Productivity
Clay,443.27,14.54,95.0,222.63,68.85,4.58,3.73,Rabi,4.4,Healthy,Medium,Low Productivity
Loamy,590.33,17.69,95.0,149.94,45.71,5.07,3.86,Rabi,4.83,Healthy,Medium,Moderate Productivity
Clay,1292.14,28.65,77.67,243.38,33.99,2.5,3.45,Kharif,6.74,Healthy,Medium,High Productivity
Clay,523.67,37.58,65.64,215.23,45.58,2.8,2.94,Summer,4.04,Unhealthy,Low,Low Productivity
Loamy,373.8,38.81,72.56,123.33,60.08,3.5,4.19,Summer,3.78,Unhealthy,Low,Low Productivity
Loamy,1205.1,31.59,76.67,143.9,40.97,6.24,4.34,Kharif,6.62,Healthy,Medium,High Productivity
Loamy,306.76,37.19,68.56,188.28,51.07,2.83,4.24,Summer,5.01,Healthy,Medium,Moderate Productivity
Clay,1333.11,30.78,77.64,237.51,36.92,4.46,3.47,Kharif,8.0,Healthy,High,High Productivity
Loamy,492.2,34.9,73.81,188.6,44.36,5.63,3.81,Summer,4.47,Healthy,Low,Low Productivity
Clay,381.15,30.56,77.05,201.89,33.5,4.76,3.35,Summer,4.68,Healthy,Medium,Low Productivity
Loamy,1092.98,31.11,82.69,228.72,46.92,4.19,3.22,Kharif,5.9,Healthy,High,Moderate Productivity
Loamy,530.84,38.99,73.51,166.96,42.89,5.12,2.85,Summer,4.22,Healthy,Low,Low Productivity
Clay,528.97,39.26,69.54,286.69,48.94,4.06,2.85,Summer,4.52,Healthy,Medium,Low Productivity
Clay,200.0,29.31,85.71,225.61,65.49,2.63,2.62,Summer,5.52,Healthy,Medium,Moderate Productivity
Clay,224.97,42.12,63.49,242.56,37.16,3.01,3.34,Summer,3.63,Unhealthy,Low,Low Productivity
Loamy,826.62,26.03,86.21,244.46,27.87,5.6,4.0,Rabi,7.5,Healthy,High,High Productivity
Sandy,984.93,26.47,87.25,289.33,46.16,7.41,3.27,Kharif,7.46,Healthy,High,High Productivity
Loamy,200.0,39.12,72.15,260.07,46.64,5.32,3.9,Summer,4.61,Unhealthy,Medium,Moderate Productivity
Loamy,403.72,21.68,92.57,286.46,51.79,3.93,2.26,Rabi,5.65,Healthy,Medium,Moderate Productivity
Sandy,427.18,25.28,86.82,217.62,46.47,9.06,3.07,Rabi,4.33,Healthy,Medium,Low Productivity
Clay,603.8,22.57,95.0,261.86,65.38,3.33,3.17,Rabi,4.85,Healthy,Medium,Moderate Productivity
Loamy,527.62,20.75,86.41,186.97,49.28,4.74,3.24,Rabi,3.57,Healthy,Low,Low Productivity
Sandy,913.45,35.59,70.51,329.39,42.11,6.73,2.94,Kharif,6.66,Healthy,Medium,High Productivity
Sandy,311.63,33.38,72.87,271.03,36.08,11.34,2.56,Summer,5.1,Healthy,Medium,Low Productivity
Loamy,811.09,24.18,83.15,101.15,29.48,6.36,4.56,Kharif,5.72,Healthy,Medium,High Productivity
Loamy,649.7,35.88,61.0,151.69,43.59,5.6,3.82,Summer,5.81,Healthy,Medium,Moderate Productivity
Loamy,487.95,41.34,71.27,138.94,45.83,6.65,3.76,Summer,3.68,Unhealthy,Low,Low Productivity
Clay,678.27,25.16,78.68,215.91,35.01,2.04,3.4,Rabi,3.63,Healthy,Medium,Low Productivity
Sandy,690.44,19.05,91.99,283.29,49.15,3.84,2.72,Rabi,5.58,Healthy,Medium,Moderate Productivity
Sandy,1368.66,26.57,75.01,255.62,43.06,5.46,2.78,Kharif,6.86,Healthy,High,High Productivity
Sandy,318.82,32.66,77.91,272.96,39.13,7.72,2.75,Summer,5.88,Healthy,Medium,Moderate Productivity
Clay,559.74,35.04,68.03,116.71,34.47,2.88,3.19,Summer,3.42,Healthy,Medium,Low Productivity
Clay,1387.92,27.24,75.63,118.73,48.74,3.36,3.98,Kharif,5.89,Healthy,High,Moderate Productivity
Clay,1421.38,22.3,88.21,195.17,46.21,2.51,3.86,Kharif,6.35,Healthy,High,High Productivity
Sandy,1208.41,36.37,66.86,447.44,36.15,5.64,2.0,Kharif,8.0,Healthy,High,High Productivity
Sandy,382.86,14.19,94.1,334.96,41.61,0.91,2.84,Rabi,4.84,Healthy,Medium,Low Productivity
Loamy,658.6,39.64,67.29,226.88,40.89,4.99,4.28,Summer,6.27,Unhealthy,Medium,High Productivity
Loamy,387.8,34.86,76.16,243.73,54.09,3.99,3.52,Summer,4.62,Healthy,Medium,Low Productivity
Sandy,1212.91,26.35,78.29,388.77,47.55,8.33,2.49,Kharif,8.0,Healthy,High,High Productivity
